Pay Period,Facility,Cost Center,Department,Statistic,Target Hours per Statistic,Productive Hours,Actual Statistic,Hours Earned,Hours per UOS, Actual Productive FTEs , Flex Productive FTEs , Flex /Actual Percentage , Actual v Flex Productive FTE Variance , Actual Non-Productive FTEs , Budget Non-Productive FTEs , Actual v Bud Non-Productive FTE Variance , Actual Total FTEs , Premium Pay Percentage , Total Salaries , Budget Cost per UoS , Actual Cost per UoS 
1,10000,2004,Resp. Therapy School,Calendar Days,22.92,315,13,0, 23.71 ,3.94,3.81,97%,-0.13,0.52,0.11,-0.41,4.46,0.00%,"$334,688","$24,323","$25,164"
1,10000,2005,Operating Room,OR Hours,6.35,"4,103",698,"4,436", 5.88 ,51.29,55.45,108%,4.17,13.59,6.81,-6.78,64.88,5.16%,"$5,064,165","$7,534","$7,252"
1,10000,2006,Recovery Room,PACU Hours,2.81,"1,749",864,"2,429", 2.03 ,21.86,30.36,139%,8.50,4.73,2.54,-2.19,26.59,5.91%,"$2,091,236","$3,208","$2,422"
1,10000,2007,Thoracic and Cardio Surg,Calendar Days,7.30,38,13,0, 2.86 ,0.48,1.21,255%,0.74,0.00,0.68,0.68,0.48,0.00%,"$35,625","$6,840","$2,679"
1,10000,2009,Surgicenter,Surgicenter Hours,6.74,69,7,45, 10.32 ,0.86,0.56,65%,-0.30,0.00,0.00,0.00,0.86,8.30%,"$69,694","$6,316","$10,480"
1,10000,2011,E/R Registration,ER Visits,0.51,963,"1,429",735, 0.67 ,12.04,9.19,76%,-2.85,1.57,1.00,-0.57,13.61,3.32%,"$1,050,337",$545,$735
1,10000,2012,Emergency Room,ER Visits,2.66,"4,591","1,429","3,796", 3.21 ,57.39,47.46,83%,-9.93,8.63,9.45,0.82,66.02,3.76%,"$5,113,504","$2,866","$3,579"
1,10000,2021,Wound Healing Center,Visits,1.31,194,140,182, 1.39 ,2.42,2.28,94%,-0.14,0.62,0.24,-0.38,3.04,0.00%,"$227,963","$1,539","$1,632"
1,10000,2027,Cancer Registry,Calendar Days,14.66,201,13,0, 15.12 ,2.51,2.44,97%,-0.08,0.34,0.41,0.07,2.85,0.00%,"$214,088","$15,602","$16,097"
1,10000,2028,Cardiology,Test/Procedures ,0.51,629,"1,331",679, 0.47 ,7.86,8.48,108%,0.63,0.53,0.69,0.16,8.39,1.70%,"$639,133",$510,$480
1,10000,2032,Cardiac Cath Lab,Test/Procedures ,7.34,"1,593",332,"2,434", 4.81 ,19.91,30.42,153%,10.51,2.32,2.67,0.35,22.23,7.24%,"$1,775,658","$7,683","$5,356"
1,10000,2036,Ophthalmic Service,Test/Procedures ,2.85,3,0,0, 0.00 ,0.04,0.00,0%,-0.04,0.00,0.00,0.00,0.04,0.00%,"$2,672",$0,$0
1,10000,2038,Physical Medicine,Test/Procedures ,0.05,"1,244","25,892","1,235", 0.05 ,15.55,15.44,99%,-0.12,1.35,1.79,0.44,16.90,7.36%,"$1,353,597",$49,$52
1,10000,2045,Cardiac Rehabilitation,Test/Procedures ,1.72,233,118,203, 1.97 ,2.91,2.53,87%,-0.37,0.40,0.42,0.02,3.31,0.00%,"$247,978","$1,834","$2,105"
1,10000,2047,Respiratory Therapy,Weighted Procedures,0.69,"1,685","2,712","1,871", 0.62 ,21.06,23.39,111%,2.33,3.87,3.64,-0.23,24.93,0.50%,"$1,877,669",$766,$692
1,10000,2048,Pulmonary-Cardio,Test/Procedures ,1.37,195,115,158, 1.70 ,2.44,1.97,81%,-0.47,0.26,0.26,0.00,2.70,0.00%,"$202,519","$1,424","$1,762"
1,10000,2052,Neurology,Test/Procedures ,4.01,129,32,130, 3.99 ,1.61,1.62,101%,0.01,0.42,0.29,-0.13,2.03,0.00%,"$152,175","$4,741","$4,711"
1,10000,2054,Central Sterile Supply,Adult Discharges,3.13,"1,687",595,"1,862", 2.84 ,21.09,23.27,110%,2.18,3.14,2.22,-0.92,24.23,12.70%,"$2,018,070","$3,372","$3,393"
1,10000,2055,Pharmacy,Total Adult Days,1.39,"2,856","2,257","3,142", 1.27 ,35.71,39.27,110%,3.57,5.88,4.64,-1.24,41.59,5.05%,"$3,254,241","$1,520","$1,442"
1,10000,2056,IV Therapy,Total Adult Days,0.30,694,"2,257",670, 0.31 ,8.67,8.38,97%,-0.29,1.85,1.94,0.09,10.52,4.18%,"$816,057",$338,$362
1,10000,2057,General Radiology,Calendar Days,39.40,503,13,0, 37.84 ,6.29,6.55,104%,0.26,1.75,0.84,-0.91,8.04,0.07%,"$603,405","$47,210","$45,369"
1,10000,2058,Diagnostic Radiology,Test/Procedures ,0.60,929,"1,584",950, 0.59 ,11.62,11.88,102%,0.26,2.21,1.93,-0.28,13.83,0.00%,"$1,037,006",$670,$655
1,10000,2059,CAT Scan,Test/Procedures ,0.87,648,849,740, 0.76 ,8.10,9.25,114%,1.15,0.71,1.65,0.94,8.81,10.01%,"$721,231",$888,$849
1,10000,2060,Ultrasound,Test/Procedures ,1.16,403,337,391, 1.20 ,5.04,4.89,97%,-0.15,0.62,0.97,0.35,5.66,3.25%,"$436,873","$1,221","$1,295"
1,10000,2061,Radiology Special,Test/Procedures ,5.34,573,92,492, 6.22 ,7.17,6.15,86%,-1.02,0.86,0.88,0.02,8.03,7.58%,"$642,751","$5,607","$6,975"
1,10000,2063,Nuclear Medicine,Test/Procedures ,2.66,119,48,126, 2.50 ,1.48,1.58,106%,0.09,0.21,0.14,-0.07,1.69,6.83%,"$134,682","$2,845","$2,835"
1,10000,2064,Radiation Therapy,Weighted Procedures,1.98,659,349,691, 1.89 ,8.24,8.63,105%,0.39,0.64,0.92,0.28,8.88,0.00%,"$666,094","$2,001","$1,910"
1,10000,2065,Oncology,Calendar Days,28.09,416,13,0, 31.25 ,5.20,4.67,90%,-0.53,0.59,0.56,-0.03,5.79,0.00%,"$433,894","$29,320","$32,624"
1,10000,2066,MRI Center,Test/Procedures ,1.34,212,157,210, 1.35 ,2.65,2.63,99%,-0.03,0.45,0.35,-0.10,3.10,3.44%,"$239,651","$1,469","$1,529"
1,10000,2078,Endoscopy,Test/Procedures ,6.07,562,94,571, 5.98 ,7.03,7.14,102%,0.11,2.31,1.66,-0.65,9.34,4.13%,"$722,294","$7,561","$7,680"
1,10000,2080,TMS Therapy,Test/Procedures ,0.00,0,9,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
1,10000,2112,OP Admin. Radiology Clerical,Total Radiology Founders,0.04,84,"1,436",64, 0.06 ,1.05,0.80,77%,-0.25,0.00,0.20,0.20,1.05,0.28%,"$78,823",$42,$55
1,10000,2113,OP Diagnostic Radiology,Test/Procedures ,0.28,113,294,81, 0.38 ,1.41,1.01,72%,-0.39,0.16,0.30,0.14,1.57,0.00%,"$117,534",$289,$400
1,10000,2114,OP Cat Scan,Test/Procedures ,0.74,151,185,138, 0.82 ,1.89,1.72,91%,-0.17,0.05,0.33,0.28,1.94,11.91%,"$162,475",$717,$877
1,10000,2115,OP Ultrasound,Test/Procedures ,0.48,153,332,159, 0.46 ,1.91,1.98,104%,0.07,0.12,0.42,0.30,2.03,1.75%,"$155,132",$477,$468
1,10000,2117,Breast Diagnostic Services,Test/Procedures ,0.78,495,626,487, 0.79 ,6.19,6.09,98%,-0.10,1.09,0.50,-0.59,7.28,2.00%,"$555,484",$858,$887
1,10000,2125,CCOP,Calendar Days,7.06,46,13,0, 3.43 ,0.57,1.17,206%,0.60,0.00,0.02,0.02,0.57,0.00%,"$42,750","$6,620","$3,214"
1,10000,2126,Employeearmacy,Calendar Days,72.96,"1,281",13,0, 96.30 ,16.01,12.13,76%,-3.88,0.57,1.10,0.53,16.58,10.89%,"$1,374,259","$70,836","$103,328"
1,10000,2136,Pre-Admission Testing,Adult Discharges,1.68,887,595,"1,002", 1.49 ,11.08,12.52,113%,1.44,2.29,1.54,-0.75,13.37,0.04%,"$1,003,297","$1,905","$1,687"
1,10000,2152,Bariatric Surgery Program,Calendar Days,13.42,120,13,0, 9.05 ,1.51,2.23,148%,0.73,1.18,0.12,-1.06,2.69,0.00%,"$201,384","$22,452","$15,142"
1,10000,2155,Neuro Interventional Lab,Test/Procedures ,0.21,335,"1,995",414, 0.17 ,4.19,5.18,123%,0.98,1.17,0.98,-0.19,5.36,26.47%,"$485,351",$249,$243
1,10000,2310,Radiology OP Diagno XRay HC,Test/Procedures ,0.39,81,190,73, 0.43 ,1.01,0.92,91%,-0.09,0.00,0.00,0.00,1.01,0.00%,"$75,703",$362,$398
1,10000,2311,Radiology OP CAT Scan HC,Test/Procedures ,0.63,106,165,105, 0.64 ,1.33,1.31,99%,-0.02,0.12,0.48,0.36,1.45,0.00%,"$108,525",$647,$657
1,10000,2312,Radiology OP Ultrasound HC,Test/Procedures ,0.65,78,138,89, 0.56 ,0.97,1.12,115%,0.14,0.09,0.00,-0.09,1.06,0.00%,"$79,556",$664,$578
1,10000,2313,Mammography OP HC,Test/Procedures ,0.64,130,156,100, 0.83 ,1.62,1.25,77%,-0.37,0.47,0.60,0.13,2.09,0.00%,"$156,816",$777,"$1,007"
1,10000,2315,Cardiac Rehab OP HC,Calendar Days,6.26,158,13,0, 11.88 ,1.97,1.04,53%,-0.93,0.18,0.01,-0.17,2.15,0.00%,"$161,569","$6,406","$12,148"
1,10000,2316,Cardiology OP HC,Test/Procedures ,2.24,182,104,232, 1.76 ,2.28,2.90,127%,0.62,0.28,0.32,0.04,2.56,0.12%,"$191,973","$2,355","$1,854"
1,10000,2318,PM and R OP HC,Test/Procedures ,0.04,419,"11,115",496, 0.04 ,5.24,6.20,118%,0.96,1.09,0.93,-0.16,6.33,0.19%,"$475,253",$51,$43
1,10000,2320,Radiation Therapy OP HC,Weighted Procedures,1.95,415,266,520, 1.56 ,5.18,6.50,125%,1.32,1.19,0.55,-0.64,6.37,0.00%,"$478,003","$2,251","$1,794"
1,10000,2321,Sleep Study OP HC,Test/Procedures ,10.50,239,25,259, 9.68 ,2.99,3.24,108%,0.25,0.10,0.24,0.14,3.09,0.00%,"$231,713","$10,173","$9,381"
1,10000,2322,Diabetes Management HC,Test/Procedures ,1.22,155,143,175, 1.08 ,1.93,2.19,113%,0.26,0.10,0.07,-0.03,2.03,0.15%,"$152,659","$1,204","$1,064"
1,10000,4000,Nursing Administration,Calendar Days,86.69,"1,308",13,0, 98.36 ,16.35,14.41,88%,-1.94,1.96,1.92,-0.04,18.31,2.16%,"$1,399,831","$91,011","$105,250"
1,10000,4002,Staff Development,Calendar Days,45.39,616,13,0, 46.29 ,7.70,7.55,98%,-0.15,1.04,1.82,0.78,8.74,0.00%,"$655,125","$48,303","$49,258"
1,10000,4003,Central Transport,Discharges/100,135.38,"1,024",6,806, 172.08 ,12.80,10.07,79%,-2.73,1.71,0.89,-0.82,14.51,11.05%,"$1,194,182","$143,877","$200,703"
1,10000,4004,Nurse Residents,Calendar Days,1.61,30,13,0, 2.29 ,0.38,0.27,70%,-0.11,0.52,0.63,0.11,0.90,0.00%,"$67,500","$3,574","$5,075"
1,10000,4005,Staffing Office,Calendar Days,15.95,244,13,0, 18.38 ,3.05,2.65,87%,-0.40,0.13,0.31,0.18,3.18,10.43%,"$262,759","$15,586","$19,756"
1,10000,4013,Division of Surgery,Calendar Days,2.85,0,13,0, 0.00 ,0.00,0.47,0%,0.47,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
1,10000,4019,Case Mangement,Calendar Days,109.69,"1,569",13,0, 117.96 ,19.61,18.24,93%,-1.38,3.03,1.18,-1.85,22.64,0.69%,"$1,708,332","$118,719","$128,446"
1,10000,4020,Pediatrics / Neonatology Off,Calendar Days,8.83,98,13,0, 7.36 ,1.22,1.47,120%,0.25,0.38,0.09,-0.29,1.60,1.67%,"$121,763","$10,853","$9,155"
1,10000,4022,Admissions,Calendar Days,23.27,224,13,0, 16.84 ,2.80,3.87,138%,1.07,1.05,0.46,-0.59,3.85,0.15%,"$289,037","$29,993","$21,732"
1,10000,4023,Quality Outcomes,Calendar Days,21.77,213,13,0, 16.00 ,2.66,3.62,136%,0.96,0.29,0.19,-0.10,2.95,0.00%,"$221,250","$22,633","$16,635"
1,10000,4028,Continuing Medical Education,Calendar Days,4.06,61,13,0, 4.57 ,0.76,0.68,89%,-0.08,0.00,0.02,0.02,0.76,0.00%,"$57,000","$3,811","$4,286"
1,10000,4030,Food Service,Total Adjusted Adult Days,1.19,"3,991","3,418","4,067", 1.17 ,49.88,50.84,102%,0.95,6.16,5.67,-0.49,56.04,3.62%,"$4,338,644","$1,253","$1,270"
1,10000,4033,Housekeeping,1000 Net Square Feet Cleaned,236.88,"4,311",19,"4,449", 229.56 ,53.89,55.61,103%,1.72,6.41,6.21,-0.20,60.30,10.52%,"$4,947,433","$248,491","$263,442"
1,10000,4034,Laundry,100 Adjusted Discharges,22.96,114,10,221, 11.84 ,1.43,2.76,194%,1.34,0.00,0.75,0.75,1.43,6.67%,"$114,000","$21,525","$11,838"
1,10000,4046,Security,1000 Sq Ft Patrolled,35.19,"1,337",50,"1,762", 26.69 ,16.71,22.03,132%,5.32,3.91,1.96,-1.95,20.62,7.13%,"$1,635,661","$40,711","$32,661"
1,10000,4067,Business Office,Calendar Days,19.28,240,13,0, 18.05 ,3.00,3.20,107%,0.20,0.43,0.83,0.40,3.43,8.57%,"$276,648","$20,662","$20,801"
1,10000,4068,OP Registration and Admin.,Calendar Days,84.08,"1,380",13,0, 103.75 ,17.25,13.98,81%,-3.27,2.59,1.08,-1.51,19.84,3.68%,"$1,535,520","$90,664","$115,453"
1,10000,4073,Cashiering,Calendar Days,9.26,114,13,0, 8.57 ,1.43,1.54,108%,0.11,0.10,0.10,0.00,1.53,0.00%,"$114,375","$9,287","$8,600"
1,10000,4098,Executive Office,Calendar Days,14.87,198,13,0, 14.86 ,2.47,2.47,100%,0.00,0.19,0.16,-0.03,2.66,0.00%,"$199,500","$15,014","$15,000"
1,10000,4099,Administration,Calendar Days,13.09,160,13,0, 12.04 ,2.00,2.18,109%,0.18,0.47,0.19,-0.28,2.47,0.00%,"$185,316","$15,156","$13,934"
1,10000,4103,Quality Management,Calendar Days,13.12,105,13,0, 7.86 ,1.31,2.18,167%,0.87,0.36,0.38,0.02,1.67,0.00%,"$124,969","$15,684","$9,396"
1,10000,4108,Marketing,Calendar Days,0.00,0,13,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
1,10000,4109,Development,Calendar Days,14.68,251,13,0, 18.86 ,3.14,2.44,78%,-0.69,0.00,0.04,0.04,3.14,0.00%,"$235,125","$13,764","$17,679"
1,10000,4110,Human Resources,Calendar Days,29.10,409,13,0, 30.73 ,5.11,4.84,95%,-0.27,1.17,1.13,-0.04,6.28,0.14%,"$471,487","$33,533","$35,450"
1,10000,4122,Supply Chain Management,Calendar Days,79.74,"1,165",13,0, 87.62 ,14.57,13.26,91%,-1.31,0.90,1.16,0.26,15.47,2.19%,"$1,183,974","$79,376","$89,021"
1,10000,4127,Volunteers,Calendar Days,4.40,70,13,0, 5.23 ,0.87,0.73,84%,-0.14,0.00,0.12,0.12,0.87,0.68%,"$65,686","$4,122","$4,939"
1,10000,4131,Risk Management,Calendar Days,4.88,0,13,0, 0.00 ,0.00,0.81,0%,0.81,0.95,0.14,-0.81,0.95,0.00%,"$71,250",$0,"$5,357"
1,10000,4134,Medical Library,Calendar Days,6.40,91,13,0, 6.86 ,1.14,1.06,93%,-0.08,0.00,0.26,0.26,1.14,0.00%,"$85,500","$5,998","$6,429"
1,10000,4135,Chaplaincy,Calendar Days,4.94,53,13,0, 4.00 ,0.67,0.82,124%,0.16,0.29,0.09,-0.20,0.96,0.00%,"$71,625","$6,653","$5,385"
1,10000,4137,Community Services,Calendar Days,38.74,402,13,0, 30.21 ,5.02,6.44,128%,1.42,0.65,0.16,-0.49,5.67,0.00%,"$425,428","$41,022","$31,987"
1,10000,4139,Former Employees,Calendar Days,0.00,0,13,0, 0.00 ,0.00,0.00,0%,0.00,0.95,0.00,-0.95,0.95,0.00%,"$71,250",$0,"$5,357"
1,10000,4155,Service Center,Calendar Days,15.33,196,13,0, 14.71 ,2.45,2.55,104%,0.10,0.09,0.12,0.03,2.54,0.23%,"$190,647","$14,901","$14,334"
1,10000,4159,Transfer Center,Calendar Days,0.56,141,13,0, 10.62 ,1.77,0.09,5%,-1.67,0.10,0.00,-0.10,1.87,0.00%,"$139,978",$557,"$10,525"
1,10000,4167,Hospitality,Calendar Days,24.82,426,13,0, 32.02 ,5.32,4.13,78%,-1.20,0.00,0.13,0.13,5.32,0.67%,"$401,897","$23,270","$30,218"
1,10000,4205,OR Scheduling,Calendar Days,19.76,68,13,0, 5.14 ,0.86,3.28,384%,2.43,0.09,0.48,0.39,0.95,0.00%,"$70,875","$20,470","$5,329"
1,10000,4209,Development Capital Campaign,Calendar Days,10.46,114,13,0, 8.57 ,1.43,1.74,122%,0.31,0.00,0.63,0.63,1.43,0.00%,"$106,875","$9,803","$8,036"
1,10000,4250,JLL Maintenance,1000 Net Square Feet Maintained,71.33,"1,663",26,"1,823", 65.05 ,20.78,22.79,110%,2.01,2.92,2.51,-0.41,23.70,0.73%,"$1,789,141","$76,267","$69,998"
1,10000,4301,Administration HC,Calendar Days,0.96,15,13,0, 1.14 ,0.19,0.16,84%,-0.03,0.00,0.00,0.00,0.19,0.00%,"$14,250",$902,"$1,071"
1,10000,4303,Medical Office Bldg HC,Calendar Days,6.76,36,13,0, 2.70 ,0.45,1.12,251%,0.68,0.12,0.00,-0.12,0.57,0.00%,"$42,619","$8,036","$3,204"
1,10000,4304,Registration HC,Calendar Days,14.90,393,13,0, 29.54 ,4.91,2.48,50%,-2.43,0.03,0.20,0.17,4.94,0.42%,"$372,069","$14,058","$27,975"
1,10000,4401,Interns and Residents,Calendar Days,5.75,68,13,0, 5.14 ,0.86,0.96,112%,0.10,0.00,0.08,0.08,0.86,0.00%,"$64,125","$5,391","$4,821"
1,10000,4413,Family Medicine Residents,Calendar Days,78.42,"1,126",13,0, 84.68 ,14.08,13.04,93%,-1.04,0.17,0.17,0.00,14.25,0.00%,"$1,068,581","$74,411","$80,344"
1,10000,4415,Radiology Residents,Calendar Days,96.33,"1,055",13,0, 79.36 ,13.19,16.02,121%,2.82,0.11,0.00,-0.11,13.30,0.00%,"$997,734","$91,066","$75,018"
1,10000,4416,Podiatry Residents,Calendar Days,55.84,731,13,0, 54.95 ,9.13,9.28,102%,0.15,0.00,0.00,0.00,9.13,0.00%,"$685,116","$52,354","$51,512"
1,10000,4417,Breast Surgery Fellows,Calendar Days,11.43,168,13,0, 12.61 ,2.10,1.90,91%,-0.20,0.00,0.00,0.00,2.10,0.00%,"$157,200","$10,714","$11,820"
1,11000,1001,Mother / Baby Unit,Equivalent Patient Days,17.58,"2,772",173,"3,039", 16.03 ,34.65,37.99,110%,3.34,5.98,7.66,1.68,40.63,1.89%,"$3,096,094","$19,322","$17,907"
1,11000,1003,Delivery Rooms,Delivery,25.28,"3,082",129,"3,266", 23.86 ,38.53,40.82,106%,2.30,6.24,5.92,-0.32,44.77,3.40%,"$3,455,892","$27,537","$26,748"
1,11000,1004,Antenatal Unit,Equivalent Patient Days,16.32,425,63,"1,023", 6.78 ,5.31,12.79,241%,7.48,0.52,1.83,1.31,5.83,9.36%,"$474,766","$16,794","$7,572"
1,11000,1005,Perinatal Testing Center,Test/Procedures ,0.83,592,623,516, 0.95 ,7.40,6.45,87%,-0.95,1.55,1.32,-0.23,8.95,0.10%,"$671,436",$938,"$1,077"
1,11000,1007,Intensive Care Nursery,Equivalent Patient Days,11.76,"2,796",261,"3,072", 10.70 ,34.95,38.39,110%,3.45,4.84,8.40,3.56,39.79,4.31%,"$3,096,730","$12,549","$11,854"
1,11000,1008,2 Pavilion Stepdown,Equivalent Patient Days,11.83,"1,879",169,"2,000", 11.11 ,23.49,25.00,106%,1.51,4.52,4.82,0.30,28.01,4.61%,"$2,182,113","$13,222","$12,904"
1,11000,1010,3 South,Equivalent Patient Days,9.33,"2,869",328,"3,059", 8.75 ,35.86,38.24,107%,2.38,5.25,6.55,1.30,41.11,4.53%,"$3,204,991","$10,032","$9,779"
1,11000,1016,1 South,Equivalent Patient Days,9.25,"2,690",304,"2,810", 8.85 ,33.62,35.13,104%,1.51,7.88,7.94,0.06,41.50,6.42%,"$3,274,557","$10,699","$10,772"
1,11000,1017,2 Rosengarten,Equivalent Patient Days,10.37,"1,690",175,"1,813", 9.67 ,21.13,22.66,107%,1.53,3.86,4.89,1.03,24.99,2.20%,"$1,908,972","$11,498","$10,921"
1,11000,1018,2 South,Equivalent Patient Days,11.73,"2,409",213,"2,496", 11.32 ,30.11,31.20,104%,1.08,4.73,6.84,2.11,34.84,4.35%,"$2,711,283","$12,722","$12,741"
1,11000,1019,2 Southwest,Equivalent Patient Days,8.76,"2,409",295,"2,589", 8.15 ,30.12,32.37,107%,2.25,6.10,6.20,0.10,36.22,7.91%,"$2,894,911","$9,881","$9,798"
1,11000,1020,3 Southwest,Equivalent Patient Days,9.46,"2,973",336,"3,182", 8.84 ,37.16,39.78,107%,2.62,5.11,9.59,4.48,42.27,4.97%,"$3,308,820","$10,091","$9,839"
1,11000,1026,3 East,Equivalent Patient Days,11.85,"1,148",94,"1,115", 12.20 ,14.35,13.94,97%,-0.41,0.72,0.05,-0.67,15.07,6.40%,"$1,199,016","$11,671","$12,749"
1,11000,1030,4 SW,Equivalent Patient Days,43.24,721,34,"1,479", 21.08 ,9.01,18.48,205%,9.47,0.31,1.15,0.84,9.32,13.22%,"$788,350","$41,930","$23,051"
1,11000,1035,Nursing Resource Team,Total Adult Days,0.00,19,"3,393",0, 0.01 ,0.24,0.00,0%,-0.24,1.28,0.00,-1.28,1.52,0.00%,"$113,813",$0,$34
1,11000,1037,NPPA,Total Adult Days,0.20,293,"3,393",669, 0.09 ,3.66,8.36,229%,4.70,0.95,1.25,0.30,4.61,0.00%,"$345,563",$233,$102
1,11000,1044,1 SW,Equivalent Patient Days,9.57,"2,239",244,"2,336", 9.17 ,27.99,29.20,104%,1.20,4.96,5.75,0.79,32.95,3.63%,"$2,547,655","$10,558","$10,435"
1,11000,1049,One on One Staffing,Total Adult Days,0.09,504,"3,393",305, 0.15 ,6.30,3.82,61%,-2.48,0.00,0.00,0.00,6.30,60.70%,"$759,265",$84,$224
1,11000,1051,IV Team,Total Adult Days,0.22,711,"3,393",741, 0.21 ,8.88,9.26,104%,0.38,1.45,1.03,-0.42,10.33,2.61%,"$792,348",$238,$233
1,11000,1052,Monitor Techs,Calendar Days,69.62,942,13,0, 70.80 ,11.77,11.57,98%,-0.20,1.30,0.95,-0.35,13.07,12.94%,"$1,094,586","$72,473","$82,300"
1,11000,1053,6 West,Test/Procedures ,4.38,454,154,674, 2.95 ,5.68,8.43,148%,2.75,0.76,1.20,0.44,6.44,0.60%,"$485,497","$4,658","$3,155"
1,11000,1080,CICU,Equivalent Patient Days,17.52,"5,566",347,"6,074", 16.05 ,69.57,75.92,109%,6.35,16.38,21.04,4.66,85.95,0.96%,"$6,496,515","$20,288","$18,735"
1,11000,1081,1 Pavilion,Equivalent Patient Days,11.16,"3,405",350,"3,902", 9.74 ,42.56,48.77,115%,6.21,5.24,7.03,1.79,47.80,2.01%,"$3,649,237","$11,752","$10,438"
