What is the total savings opportunity of those departments?,,,,,,
"Of those departments from 2, take the average Salary per FTE (AVG Salaries / AVG Total FTEs) * AVERAGE of  Actual v Flex Productive FTE Variance = Savings",,,,,,
Facility,Department,AVERAGE of  Flex /Actual Percentage ,AVERAGE of  Actual v Flex Productive FTE Variance ,AVERAGE of  Actual Total FTEs ,AVERAGE of  Total Salaries ,Savings
11000,Division of Surgery,97%,-0.36,12.22,"$921,302",
11000,E/R Registration,76%,-4.05,18.70,"$1,427,607","$309,045"
11000,Emergency Room,91%,-9.13,124.03,"$9,679,032","$712,258"
11000,Endoscopy,93%,-1.09,19.82,"$1,516,251",
11000,Executive Office,110%,0.33,3.72,"$279,124",
11000,Family Medicine Residents,100%,0.00,6.15,"$461,077",
11000,Family Planning Clinic,298%,2.36,1.82,"$136,446",
11000,Food Service,103%,2.56,89.89,"$6,943,938",
11000,Former Employees,0%,0.00,0.92,"$69,115",
11000,Gastroenterology Fellows,100%,0.00,6.35,"$476,446",
11000,General Radiology,105%,0.36,10.10,"$770,879",
11000,General Surgery Residents,90%,-1.83,18.93,"$1,437,504",
11000,Heart Failure and Transplant,88%,-0.42,3.59,"$268,962",
11000,Hematology_Oncology Fellows,88%,-0.86,7.17,"$537,923",
11000,Hospitality,102%,0.11,6.31,"$473,167",
11000,Housekeeping,0%,0.00,0.00,#DIV/0!,
11000,Human Resources,100%,0.00,7.05,"$533,716",
11000,Inrotator Residents,0%,-0.05,0.05,"$3,842",
11000,Integrative Therapy,0%,-0.54,0.54,"$44,427",
11000,Intensive Care Nursery,110%,3.72,42.91,"$3,339,900",
11000,Internal Medicine Residents,94%,-3.52,60.86,"$4,571,145","$264,755"
11000,Interns and Residents,57%,-1.36,3.14,"$235,822",
11000,Interventional Cardio Fellows,100%,0.00,2.15,"$161,377",
11000,IV Team,104%,0.41,11.15,"$854,899",
11000,JLL Maintenance,92%,-2.40,32.46,"$2,545,170",
11000,Kidney Acquisition,115%,1.04,7.99,"$599,555",
11000,Laundry,137%,0.96,3.84,"$294,052",
11000,Mammography Center,95%,-0.26,6.61,"$496,927",
11000,Marketing,0%,0.00,0.00,#DIV/0!,
11000,Medical Library,97%,-0.05,1.59,"$119,112",
11000,Monitor Techs,98%,-0.21,14.10,"$1,180,746",
11000,Mother / Baby Unit,110%,3.60,43.82,"$3,339,189",
11000,MRI Center,133%,1.94,6.52,"$512,223",
11000,Nephrology Fellows,120%,0.20,1.02,"$76,846",
11000,Neurology,103%,0.04,1.38,"$106,144",
11000,NPPA,229%,5.07,4.97,"$372,704",
11000,Nuclear Medicine,0%,0.00,0.00,#DIV/0!,
11000,Nurse Residents,0%,0.07,0.56,"$42,288",
11000,Nursing Administration,88%,-1.64,15.78,"$1,193,631",
11000,Nursing Resource Team,0%,-0.26,1.64,"$123,000",
11000,Obstetrics Gyn Residents,98%,-0.34,17.93,"$1,345,049",
11000,One on One Staffing,61%,-2.68,6.79,"$818,891",
11000,OP Admin. Radiology Clerical,175%,0.77,1.03,"$77,327",
11000,OP Cat Scan,169%,0.48,0.84,"$63,228",
11000,OP Diagnostic Radiology,211%,1.70,2.06,"$154,862",
11000,OP Registration and Admin.,98%,-0.53,35.51,"$2,672,521",
11000,OP Rehab Service at SJU,0%,-3.59,5.12,"$384,231","$268,962"
11000,OP Ultrasound,134%,0.76,2.86,"$214,438",
11000,Operating Room,86%,-10.49,94.08,"$7,779,155","$867,543"
11000,Ophthalmic Service,77%,-0.53,2.36,"$177,040",
11000,OR Scheduling,124%,0.66,3.07,"$230,533",
11000,Outpatient P M and R,123%,2.60,12.01,"$902,934",
11000,Pediatrics / Neonatology Off,87%,-0.03,0.26,"$19,212",
11000,Perinatal Testing Center,87%,-1.02,9.65,"$724,433",
11000,Pharmacy,98%,-0.85,59.51,"$4,541,644",
11000,Physical Medicine,97%,-0.67,23.34,"$1,889,347",
11000,Pre-Admission Testing,135%,2.41,8.18,"$618,903",
11000,Pulm Critical Care Fellows,100%,0.00,6.15,"$461,077",
11000,Pulmonary-Cardio,114%,0.32,2.35,"$176,911",
11000,Quality Management,88%,-0.12,1.02,"$76,846",
11000,Quality Outcomes,152%,1.52,3.08,"$230,637",
11000,Radiation Therapy,83%,-2.32,16.32,"$1,225,892",
11000,Radiology Special,80%,-2.73,14.19,"$1,184,064",
11000,Recovery Room,109%,2.03,25.99,"$2,067,819",
11000,Respiratory Therapy,114%,4.32,37.07,"$2,793,318",
11000,Risk Management,89%,-0.23,2.05,"$153,744",
11000,Safety,0%,0.00,0.00,#DIV/0!,
11000,Security,97%,-0.78,28.68,"$2,213,163",
11000,Service Center,107%,0.16,2.64,"$198,509",
11000,SICU,73%,-1.21,4.46,"$367,421",
11000,Simulation Lab,100%,0.00,0.10,"$7,685",
11000,Sleep Study,141%,2.16,6.93,"$520,106",
11000,Sleep StudyAmbulatory,0%,0.00,0.00,#DIV/0!,
11000,Staff Development,111%,0.94,12.18,"$913,775",
11000,Staffing Office,114%,0.33,2.91,"$236,218",
11000,Supply Chain Management,96%,-0.88,23.22,"$1,809,212",
11000,Surgicenter,86%,-4.35,34.57,"$2,662,104","$334,685"
11000,Thoracic and Cardio Surg,106%,0.32,6.74,"$505,263",
11000,Transfer Center,47%,-1.42,2.76,"$209,912",
11000,Trauma,103%,0.25,10.32,"$773,979",
11000,Ultrasound,113%,1.62,13.05,"$1,007,463",
11000,Volunteers,75%,-1.38,5.76,"$432,330",
11000,Wound Healing Center,92%,-0.19,2.87,"$214,989",
12000,3 East,112%,5.73,58.03,"$4,407,087",
12000,4 West Surgical,84%,-1.04,6.42,"$483,650",
12000,Administration,98%,-0.05,2.97,"$222,919",
12000,Admissions,84%,-0.74,4.79,"$409,584",
12000,Ambulatory Surgery,105%,0.53,13.53,"$1,015,269",
12000,Breast Diagnostic Services,120%,0.34,1.74,"$130,158",
12000,Business Office,114%,0.25,2.38,"$178,600",
12000,Cancer Registry,83%,-0.34,2.05,"$153,746",
12000,Cardiac Cath Lab,116%,2.82,20.96,"$1,587,252",
12000,Cardiac Rehabilitation,116%,0.34,2.82,"$211,243",
12000,Cardiac Thoracic ICU,114%,4.94,40.91,"$3,098,737",
12000,Cardiology,99%,-0.08,6.23,"$474,691",
12000,Case Mangement,95%,-0.84,18.48,"$1,386,333",
12000,Cashiering,124%,0.24,1.02,"$76,846",
12000,CAT Scan,107%,0.82,12.96,"$998,700",
12000,CCOP,189%,0.82,2.05,"$153,681",
12000,Central Sterile Supply,127%,4.92,19.48,"$1,654,595",
12000,Central Transport,110%,0.63,6.49,"$488,982",
12000,Community Services,120%,0.70,4.61,"$358,475",
12000,Delivery Rooms,95%,-2.88,66.47,"$4,997,454",
12000,Development,96%,-0.14,3.77,"$282,954",
12000,Diabetes Management Program,67%,-0.48,2.25,"$169,085",
12000,Diagnostic Radiology,101%,0.09,19.07,"$1,441,153",
12000,E/R Registration,97%,-0.32,11.70,"$911,394",
12000,Emergency Room,92%,-4.41,67.22,"$5,094,195","$334,210"
12000,Endoscopy,92%,-0.57,9.42,"$709,862",
12000,Executive Office,92%,-0.19,2.70,"$202,474",
12000,Food Service,111%,4.91,51.46,"$3,974,851",
12000,Former Employees,0%,0.00,0.00,#DIV/0!,
12000,General Radiology,119%,0.91,5.15,"$387,003",
12000,Housekeeping,94%,-3.31,59.04,"$4,795,330","$269,014"
12000,Human Resources,108%,0.30,4.61,"$345,769",
12000,Integrative Therapy,0%,-0.43,0.43,"$36,261",
12000,Intensive Care Nursery,75%,-2.10,9.15,"$686,166",
12000,IV Team,120%,0.98,6.64,"$498,649",
12000,JLL Maintenance,88%,-2.21,19.97,"$1,613,129",
12000,Laundry,122%,0.45,2.30,"$189,462",
12000,Mammography Center,121%,0.87,5.83,"$438,603",
12000,Marketing,0%,0.00,0.00,#DIV/0!,
12000,Medical Library,75%,-0.18,0.72,"$54,051",
12000,Monitor Techs,79%,-2.36,15.19,"$1,184,433",
12000,MRI Center,104%,0.11,4.76,"$387,280",
12000,Neurology,119%,0.80,4.65,"$352,518",
12000,NPPA,135%,2.88,10.85,"$813,790",
12000,Nuclear Medicine,95%,-0.13,2.43,"$186,352",
12000,Nurse Residents,0%,-5.08,5.95,"$448,899","$383,144"
12000,Nursing Administration,96%,-0.26,6.94,"$520,601",
12000,Nursing Resource Team,0%,0.05,1.39,"$104,502",
12000,Oncology,151%,4.28,13.17,"$989,845",
12000,One on One Staffing,44%,-7.36,13.15,"$1,340,217","$749,854"
12000,OP Cat Scan,0%,0.00,0.00,#DIV/0!,
12000,OP Diagnostic Radiology,94%,-0.23,4.02,"$302,166",
12000,OP Registration and Admin.,85%,-3.83,28.64,"$2,253,581","$301,043"
12000,OP Ultrasound,83%,-0.26,1.54,"$119,591",
12000,Operating Room,100%,-0.06,64.93,"$5,248,634",
12000,OR Scheduling,85%,-0.31,2.05,"$153,692",
12000,PCP 3A,108%,3.72,56.44,"$4,337,634",
12000,PCP 4A,109%,4.03,50.02,"$3,958,773",
12000,PCP 4B,104%,1.52,42.90,"$3,251,492",
12000,PCU,103%,0.78,31.57,"$2,448,560",
12000,Pediatrics / Neonatology Off,101%,0.00,0.67,"$49,936",
12000,Perinatal Testing Center,90%,-0.43,5.26,"$394,788",
12000,Pharmacy,109%,3.42,41.21,"$3,235,359",
12000,Pharmacy Residency,0%,-1.23,1.23,"$92,215",
12000,Physical Medicine,96%,-0.69,19.07,"$1,468,019",
12000,Pre-Admission Testing,138%,1.55,5.13,"$387,280",
12000,Pulmonary-Cardio,67%,-0.80,2.98,"$223,273",
12000,Quality Management,108%,0.07,1.13,"$84,508",
12000,Quality Outcomes,87%,-0.46,3.79,"$284,371",
12000,Radiation Therapy,143%,3.22,10.87,"$824,144",
12000,Radiology Special,96%,-0.31,9.97,"$776,979",
12000,Recovery Room,111%,1.19,11.47,"$915,066",
12000,Respiratory Therapy,88%,-1.94,19.46,"$1,564,690",
12000,Risk Management,64%,-0.37,1.02,"$76,846",
12000,Security,102%,0.27,17.79,"$1,429,206",
12000,Sleep Study,99%,-0.06,7.38,"$553,736",
12000,Staff Development,112%,0.65,6.20,"$465,202",
12000,Staffing Office,115%,0.25,2.24,"$178,485",
12000,Stores and Distribution,0%,0.00,0.00,#DIV/0!,
12000,Supply Chain Management,95%,-0.69,14.82,"$1,203,419",
12000,Thoracic and Cardio Surg,204%,1.00,1.06,"$79,620",
12000,Transfer Center,105%,0.06,1.55,"$116,311",
12000,Trauma,134%,1.32,5.64,"$422,683",
12000,Ultrasound,102%,0.15,8.61,"$680,720",
12000,Volunteers,91%,-0.18,2.05,"$153,825",
12000,Wound Healing Center,115%,0.45,3.86,"$290,341",
13000,Adaptive Driving,88%,-0.16,1.86,"$139,466",
13000,Administration,179%,1.98,3.29,"$247,148",
13000,Admissions,100%,0.03,10.26,"$769,912",
13000,Aquatics,105%,0.05,1.02,"$76,643",
13000,Assistive Technology,83%,-0.31,1.82,"$136,402",
13000,Birch Unit,117%,2.21,14.67,"$1,178,170",
13000,Business Office,0%,0.00,0.00,#DIV/0!,
13000,Case Mangement,0%,0.00,0.00,#DIV/0!,
13000,Cashiering,75%,-0.10,0.41,"$30,738",
13000,Clinics,74%,-1.42,5.65,"$423,856",
13000,Community Services,112%,0.06,0.77,"$57,608",
13000,Day Treatment,86%,-1.95,16.75,"$1,255,954",
13000,Development,85%,-0.28,2.56,"$191,916",
13000,Executive Office,73%,-0.17,1.02,"$76,858",
13000,Food Service,106%,1.35,27.84,"$2,124,815",
13000,General Radiology,88%,-0.05,0.41,"$30,979",
13000,Health Education,74%,-0.98,4.10,"$307,396",
13000,Horticulture Therapy,97%,-0.04,1.62,"$121,250",
13000,Housekeeping,91%,-1.69,20.28,"$1,585,290",
13000,Human Resources,124%,0.57,2.97,"$222,574",
13000,I/P Physical Therapy,98%,-0.52,39.81,"$3,066,052",
13000,JLL Maintenance,105%,0.31,7.46,"$563,535",
13000,Maple Unit,108%,3.07,47.85,"$3,714,100",
13000,Marketing,0%,-0.20,0.20,"$15,369",
13000,Medical Staff Office,183%,2.06,2.47,"$185,391",
13000,Neurology,74%,-0.15,0.56,"$42,746",
13000,Nurse Residents,0%,0.44,0.00,#DIV/0!,
13000,Nursing Administration,134%,1.80,7.22,"$559,766",
13000,O/P Communication Disorder,100%,-0.02,5.28,"$395,758",
13000,O/P Maint Transportation,92%,-0.24,3.09,"$231,979",
13000,O/P Occupational Therapy,102%,0.11,7.13,"$535,067",
13000,O/P Physical Therapy,83%,-3.43,22.31,"$1,681,232","$258,547"
13000,O/P Social Services,0%,0.00,0.00,#DIV/0!,
13000,Oak Unit,104%,1.59,42.60,"$3,241,126",
13000,Occupational Therapy,107%,2.24,36.96,"$2,847,079",
13000,One on One Staffing,112%,1.54,13.60,"$1,518,531",
13000,OP Registration and Admin.,84%,-1.98,13.14,"$985,961",
13000,Orthomedical Division,0%,0.82,0.00,#DIV/0!,
13000,Outpatient P M and R,115%,0.75,6.83,"$512,031",
13000,Pharmacy,94%,-0.56,9.27,"$710,842",
13000,Project Search,69%,-0.85,2.71,"$203,151",
13000,Psychology Services,121%,1.61,10.25,"$769,154",
13000,Recreational Therapy,94%,-0.16,3.07,"$230,515",
13000,Research Planning,151%,1.00,2.05,"$153,825",
13000,Security,108%,0.35,4.28,"$321,311",
13000,Severence,0%,0.00,0.00,#DIV/0!,
13000,Social Service,96%,-0.53,13.98,"$1,048,647",
13000,Special Events,92%,-0.05,0.61,"$46,108",
13000,Speech Therapy,97%,-0.25,8.71,"$713,297",
13000,Spruce Unit,101%,0.47,44.92,"$3,522,684",
13000,Staff Development,103%,0.06,2.00,"$207,245",
13000,Staffing Office,67%,-0.44,1.33,"$122,050",
13000,Supply Chain Management,110%,0.23,2.82,"$211,386",
13000,System Staffing,0%,-1.95,2.05,"$153,825",
13000,Telecommunications,101%,0.02,3.50,"$262,496",
13000,Therapy Per Diem Resource Pool,0%,-0.10,1.83,"$137,130",
13000,Therapy Scheduling,2570%,3.08,0.77,"$57,802",
13000,Volunteers,123%,0.16,1.03,"$76,927",
20000,A.M. Flex Unit,95%,-0.18,3.94,"$310,481",
20000,Administration,90%,-0.60,6.15,"$461,576",
20000,Admission Discharge Team,112%,0.16,1.36,"$102,062",
20000,Admissions,99%,-0.02,2.26,"$173,363",
20000,Anesthesiology,111%,0.16,2.08,"$163,352",
20000,Audiology Services,109%,0.23,3.11,"$233,432",
20000,Breast Diagnostic Services,254%,1.58,1.02,"$76,846",
20000,Business Office,89%,-0.27,2.56,"$192,132",
20000,Cancer Registry,93%,-0.34,6.35,"$476,471",
20000,Cardiac Cath Lab,93%,-1.11,16.59,"$1,313,411",
20000,Cardiac Rehabilitation,159%,0.96,1.80,"$135,331",
20000,Cardiology,90%,-0.53,5.80,"$437,724",
20000,Case Mangement,103%,0.43,15.48,"$1,160,810",
20000,Cashiering,97%,-0.03,1.02,"$76,719",
20000,CAT Scan,122%,2.00,11.29,"$873,280",
20000,Central Sterile Supply,89%,-2.03,19.18,"$1,719,079",
20000,Central Transport,135%,3.29,11.00,"$835,150",
20000,Community Services,68%,-0.74,2.71,"$203,510",
20000,Continuing Medical Education,136%,0.19,0.82,"$61,530",
20000,Development,90%,-0.34,4.00,"$299,961",
20000,Diabetes Management Program,101%,0.02,2.11,"$158,975",
20000,Diagnostic Radiology,112%,1.46,14.60,"$1,099,863",
20000,E/R Registration,90%,-1.19,12.83,"$1,038,711",
20000,Emergency Room,82%,-8.15,56.11,"$4,655,660","$676,578"
20000,Endoscopy,144%,0.84,2.01,"$162,325",
20000,Executive Office,0%,-0.65,0.65,"$48,721",
20000,Food Service,116%,5.61,41.27,"$3,186,113",
20000,General Radiology,101%,0.05,5.72,"$438,383",
20000,Housekeeping,108%,3.68,51.37,"$4,049,142",
20000,Human Resources,98%,-0.08,5.38,"$403,197",
20000,Integrative Therapy,0%,-0.36,0.45,"$39,432",
20000,Intensive Care Nursery,51%,-4.52,10.57,"$793,277","$339,142"
20000,Intensive Care Unit,114%,3.01,27.53,"$2,081,372",
20000,IV Team,125%,1.38,6.93,"$533,324",
20000,JLL Maintenance,101%,0.17,17.67,"$1,490,728",
20000,Laundry,94%,-0.12,2.06,"$154,653",
20000,Mammography Center,90%,-0.34,3.57,"$267,714",
20000,Marketing,0%,0.00,0.00,#DIV/0!,
20000,Medical Library,95%,-0.01,0.31,"$23,054",
20000,Medical Procedure Unit,0%,0.00,0.00,#DIV/0!,
20000,Medical Surgical 2 East,111%,2.61,27.38,"$2,161,934",
20000,Medical Surgical 2 North,111%,2.67,27.63,"$2,138,847",
20000,Medical Surgical 3 East,111%,2.63,26.97,"$2,085,956",
20000,Medical Surgical 4 East,111%,2.34,23.94,"$2,005,754",
20000,Medical Surgical 4 South,114%,4.51,37.04,"$2,882,499",
20000,Medical Surgical 4 West,109%,1.99,26.72,"$2,200,940",
20000,Medical Surgical 4C West,118%,3.26,20.58,"$1,681,556",
20000,Mother / Baby Unit,71%,-7.97,35.81,"$2,804,149","$624,443"
20000,MRI Center,113%,0.79,6.22,"$491,100",
20000,Neurology,107%,0.33,5.03,"$402,935",
20000,Nuclear Medicine,133%,0.73,2.30,"$189,076",
20000,Nurse Residents,144%,0.31,0.81,"$70,885",
20000,Nursing Administration,106%,0.74,13.35,"$1,036,242",
20000,Nursing Resource Team,1%,-0.41,1.59,"$122,537",
20000,One on One Staffing,27%,-9.70,13.28,"$1,582,646","$1,155,752"
20000,OP Cat Scan,125%,0.26,1.02,"$76,615",
20000,OP Diagnostic Radiology,134%,0.68,2.27,"$172,023",
20000,OP Registration and Admin.,102%,0.35,21.18,"$1,620,924",
20000,OP Ultrasound,161%,0.66,1.08,"$81,168",
20000,Operating Room,120%,8.18,54.51,"$4,249,617",
